,Year,State,Division,County,Region,Population_Description,Offense,Offender_Race,Offender_Ethnicity,Offender_Age,Offender_Sex,Victim_Type,Location,Weapon,Property_Type,Stolen_Value,Recovered_Value,Recovered?,Recovery_Date
87433,2013,Tennessee,East South Central,PUTNAM,South,"Cities from 25,000 thru 49,999",Theft From Motor Vehicle,,,,,Business,Parking/Drop Lot/Garage,,Clothes/ Furs,1765.0,0.0,N,
82563,2013,Virginia,South Atlantic,HENRY,South,"Non-MSA counties from 25,000 thru 99,999",All Other Larceny,White,,25.0,M,Individual,Service/Gas Station,,Trailers,17500.0,17500.0,Y,03-Apr-13
28695,2013,Michigan,East North Central,WAYNE,Midwest,"Cities from 50,000 thru 99,999",Embezzlement,White,,30.0,M,Business,Highway/Road/Alley/Street/Sidewalk,Firearm (Automatic),Money,49000.0,49000.0,Y,27-Jul-13
28696,2013,Michigan,East North Central,WAYNE,Midwest,"Cities from 50,000 thru 99,999",Embezzlement,White,,31.0,M,Business,Highway/Road/Alley/Street/Sidewalk,Firearm (Automatic),Money,49000.0,49000.0,Y,27-Jul-13
60314,2013,South Carolina,South Atlantic,HORRY,South,"MSA counties 100,000 or over",All Other Larceny,,,,,Business,Specialty Store,,Other,6500.0,0.0,N,
60263,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,32.0,M,Individual,Farm Facility,,Other,40000.0,40000.0,Y,08-Jan-13
9703,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Weapon Law Violations,Black or African American,,33.0,M,Society/Public,Highway/Road/Alley/Street/Sidewalk,Handgun,Merchandise,27133.0,27133.0,Y,29-Oct-13
60262,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,55.0,M,Individual,Farm Facility,,Other,40000.0,40000.0,Y,08-Jan-13
60261,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,32.0,M,Individual,Farm Facility,,Other,40000.0,40000.0,Y,08-Jan-13
60260,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,55.0,M,Individual,Farm Facility,,Other,40000.0,40000.0,Y,08-Jan-13
82584,2013,South Carolina,South Atlantic,ANDERSON,South,"MSA counties 100,000 or over",All Other Larceny,,,,,Business,Parking/Drop Lot/Garage,,Trailers,2000.0,0.0,N,
60125,2013,Tennessee,East South Central,COCKE,South,"Cities from 2,500 thru 9,999",Motor Vehicle Theft,Unknown,Unknown,,U,Individual,Parking/Drop Lot/Garage,,Collections/ Collectibles,4558.0,0.0,N,
60047,2013,South Carolina,South Atlantic,HORRY,South,"Cities from 10,000 thru 24,999",All Other Larceny,,,,,Individual,Hotel/Motel/Etc.,,Other,5284.0,0.0,N,
9559,2013,Florida,South Atlantic,POLK,South,"MSA counties 100,000 or over",Theft From Motor Vehicle,White,,,M,Business,Specialty Store,,Household Goods,50000.0,50000.0,Y,21-Dec-13
9554,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,Black or African American,,35.0,M,Business,Highway/Road/Alley/Street/Sidewalk,,Portable Electronic Communications,157450.0,0.0,N,
16819,2013,South Carolina,South Atlantic,LEXINGTON,South,"Cities from 10,000 thru 24,999",Weapon Law Violations,White,,24.0,M,Individual,Residence/Home,Handgun (Automatic),Automobile,5000.0,5000.0,Y,19-Oct-13
9552,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,Black or African American,,24.0,M,Business,Dock/Wharf/Freight/Modal Terminal,,Household Goods,3000.0,0.0,N,
9551,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,Black or African American,,24.0,M,Business,Dock/Wharf/Freight/Modal Terminal,,Household Goods,3000.0,0.0,N,
9550,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,Black or African American,,24.0,M,Business,Dock/Wharf/Freight/Modal Terminal,,Household Goods,3000.0,0.0,N,
60032,2013,South Carolina,South Atlantic,ANDERSON,South,"MSA counties 100,000 or over",All Other Larceny,,,,,Individual,Residence/Home,,Other,1700.0,0.0,N,
28972,2013,West Virginia,South Atlantic,WOOD,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,,,,,Individual,Residence/Home,,Automobile,2500.0,0.0,N,
59999,2013,Florida,South Atlantic,POLK,South,"MSA counties 100,000 or over",Motor Vehicle Theft,,,,,Individual,Not Specified,,Other,5000.0,0.0,N,
28694,2013,Michigan,East North Central,WAYNE,Midwest,"Cities from 50,000 thru 99,999",Embezzlement,White,,29.0,M,Business,Highway/Road/Alley/Street/Sidewalk,Firearm (Automatic),Money,49000.0,49000.0,Y,27-Jul-13
29065,2013,South Carolina,South Atlantic,CHARLESTON; BERKELEY,South,"Cities from 25,000 thru 49,999",All Other Larceny,Unknown,,,U,Individual,Hotel/Motel/Etc.,,Automobile,7000.0,0.0,N,
82537,2013,South Carolina,South Atlantic,BERKELEY,South,"MSA counties 100,000 or over",All Other Larceny,Black or African American,,20.0,M,Individual,Field/Woods,,Trailers,5000.0,5000.0,Y,28-Feb-13
60561,2013,South Carolina,South Atlantic,DARLINGTON,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,,,U,Business,Commercial/Office Building,,Other,1600.0,0.0,N,
10185,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Business,Parking/Drop Lot/Garage,,Household Goods,3000.0,0.0,N,
10184,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Business,Other/Unknown,,Household Goods,1960.0,0.0,N,
28443,2013,South Carolina,South Atlantic,HORRY,South,"Cities from 10,000 thru 24,999",Motor Vehicle Theft,White,,42.0,M,Individual,Bar/Nightclub,,Automobile,5000.0,5000.0,Y,26-Nov-13
10173,2013,Virginia,South Atlantic,NEWPORT NEWS CITY,South,"Cities from 100,000 thru 249,999",Theft From Motor Vehicle,,,,,Business,Highway/Road/Alley/Street/Sidewalk,,Household Goods,10000.0,0.0,N,
60695,2013,South Carolina,South Atlantic,SPARTANBURG,South,"MSA counties 100,000 or over",All Other Larceny,Black or African American,,49.0,M,Business,Commercial/Office Building,,Other,10060.0,0.0,N,
60691,2013,Michigan,East North Central,WAYNE,Midwest,"Cities from 10,000 thru 24,999",All Other Larceny,,,,,Business,Dock/Wharf/Freight/Modal Terminal,,Other,20000.0,0.0,N,
60683,2013,South Carolina,South Atlantic,HORRY,South,"Cities from 10,000 thru 24,999",All Other Larceny,,,,,Business,Construction Site,,Other,2700.0,0.0,N,
60674,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",All Other Larceny,,,,,Business,Industrial Site,,Other,80000.0,0.0,N,
60667,2013,Florida,South Atlantic,MIAMI-DADE,South,"Cities from 25,000 thru 49,999",All Other Larceny,,,,,Business,Parking/Drop Lot/Garage,,Other,5000.0,5000.0,Y,11-Jan-13
60666,2013,Florida,South Atlantic,MIAMI-DADE,South,"Cities from 25,000 thru 49,999",All Other Larceny,,,,,Business,Parking/Drop Lot/Garage,,Other,5000.0,5000.0,Y,11-Jan-13
28540,2013,Michigan,East North Central,WAYNE,Midwest,"Cities from 50,000 thru 99,999",Motor Vehicle Theft,Black or African American,,30.0,M,Individual,Specialty Store,,Automobile,8500.0,8500.0,Y,24-Sep-13
60614,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,32.0,M,Society/Public,Farm Facility,,Other,40000.0,40000.0,Y,08-Jan-13
60613,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,55.0,M,Society/Public,Farm Facility,,Other,40000.0,40000.0,Y,08-Jan-13
60612,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,32.0,M,Society/Public,Farm Facility,,Other,40000.0,40000.0,Y,08-Jan-13
10022,2013,Tennessee,East South Central,SHELBY,South,"Cities from 500,000 thru 999,999",Weapon Law Violations,Black or African American,,33.0,M,Business,Highway/Road/Alley/Street/Sidewalk,Handgun,Merchandise,27133.0,27133.0,Y,29-Oct-13
60611,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,,55.0,M,Society/Public,Farm Facility,,Other,40000.0,40000.0,Y,08-Jan-13
60608,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,,,U,Society/Public,Farm Facility,,Other,40000.0,40000.0,Y,08-Jan-13
60607,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,,,U,Society/Public,Farm Facility,,Other,40000.0,40000.0,Y,08-Jan-13
60568,2013,South Carolina,South Atlantic,FAIRFIELD,South,"MSA counties from 10,000 thru 24,999",All Other Larceny,Unknown,,,U,Business,Service/Gas Station,,Other,23000.0,0.0,N,
28664,2013,Michigan,East North Central,OAKLAND,Midwest,"MSA counties 100,000 or over",Motor Vehicle Theft,White,,28.0,M,Business,Residence/Home,,Automobile,5000.0,5000.0,Y,15-Oct-14
28668,2013,Michigan,East North Central,KENT,Midwest,"Cities from 50,000 thru 99,999",Motor Vehicle Theft,White,,50.0,M,Business,Parking/Drop Lot/Garage,,Automobile,25000.0,0.0,N,
28693,2013,South Carolina,South Atlantic,HORRY,South,"Cities from 10,000 thru 24,999",False Pretenses/Swindle/Confidence Game,White,,33.0,F,Business,Convenience Store,,Money,1224.0,0.0,N,
82423,2013,West Virginia,South Atlantic,BERKELEY,South,"MSA counties under 10,000",Motor Vehicle Theft,White,,32.0,M,Business,Commercial/Office Building,,Office Equipment,2700.0,2700.0,Y,31-Aug-13
29067,2013,Tennessee,East South Central,CHEATHAM,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,,,U,Individual,Farm Facility,,Crops,10000.0,10000.0,Y,09-Jan-13
29083,2013,South Carolina,South Atlantic,HORRY,South,"Cities from 10,000 thru 24,999",All Other Larceny,American Indian or Alaska Native,,26.0,M,Individual,Residence/Home,,Radio/ TV/ VCR,1200.0,0.0,N,
59344,2013,South Carolina,South Atlantic,DARLINGTON,South,"MSA counties from 25,000 thru 99,999",Destruction/Damage/Vandalism of Property,Unknown,,,U,Business,Commercial/Office Building,,Other,4395.0,0.0,N,
59312,2013,Arkansas,West South Central,FAULKNER,South,"Cities from 50,000 thru 99,999",All Other Larceny,,,,,Individual,Highway/Road/Alley/Street/Sidewalk,,Other,2180.0,0.0,N,
8618,2013,Florida,South Atlantic,POLK,South,"MSA counties 100,000 or over",Theft From Motor Vehicle,,,,,Individual,Restaurant,,Other Motor Vehicles,100000.0,100000.0,Y,06-Mar-13
59237,2013,Florida,South Atlantic,LAKE,South,"MSA counties 100,000 or over",Burglary/Breaking & Entering,,,,,Business,Grocery/Supermarket,,Other,1500.0,0.0,N,
59030,2013,South Carolina,South Atlantic,ABBEVILLE,South,"Non-MSA counties from 10,000 thru 24,999",All Other Larceny,,,,,Individual,Field/Woods,,Other,1150.0,0.0,N,
29734,2013,Michigan,East North Central,WAYNE,Midwest,"Cities from 10,000 thru 24,999",Motor Vehicle Theft,White,,37.0,M,Individual,Residence/Home,,Automobile,2000.0,0.0,N,
29735,2013,Michigan,East North Central,WAYNE,Midwest,"Cities from 10,000 thru 24,999",Motor Vehicle Theft,White,,,M,Individual,Residence/Home,,Automobile,2000.0,0.0,N,
82926,2013,South Carolina,South Atlantic,DARLINGTON,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,,,U,Business,Commercial/Office Building,,"Metals, Non-Precious",100000.0,0.0,N,
29736,2013,Michigan,East North Central,WAYNE,Midwest,"Cities from 10,000 thru 24,999",Motor Vehicle Theft,White,,,M,Individual,Residence/Home,,Automobile,2000.0,0.0,N,
82927,2013,South Carolina,South Atlantic,DARLINGTON,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,,,U,Business,Commercial/Office Building,,Trailers,10000.0,0.0,N,
82941,2013,South Carolina,South Atlantic,FAIRFIELD,South,"MSA counties from 10,000 thru 24,999",All Other Larceny,Unknown,,,U,Business,Service/Gas Station,,Trailers,12000.0,0.0,N,
29975,2013,South Carolina,South Atlantic,HORRY,South,"MSA counties 100,000 or over",All Other Larceny,Unknown,,,U,Government,Parking/Drop Lot/Garage,,Automobile,2000.0,0.0,N,
29999,2013,South Carolina,South Atlantic,HORRY,South,"MSA counties 100,000 or over",All Other Larceny,Unknown,,,U,Individual,Parking/Drop Lot/Garage,,Automobile,2000.0,0.0,N,
30025,2013,Michigan,East North Central,MONROE,Midwest,"Cities from 10,000 thru 24,999",Credit Card/Automated Teller Machine Fraud,,,,,Individual,Other/Unknown,,Money,6000.0,0.0,N,
83059,2013,Tennessee,East South Central,FAYETTE,South,"Cities from 2,500 thru 9,999",Theft From Motor Vehicle,Unknown,,,U,Business,Parking/Drop Lot/Garage,,Recordings,100000.0,0.0,N,
83060,2013,Tennessee,East South Central,FAYETTE,South,"Cities from 2,500 thru 9,999",Theft From Motor Vehicle,Unknown,,,U,Business,Parking/Drop Lot/Garage,,Trailers,6000.0,0.0,N,
83173,2013,Arkansas,West South Central,FAULKNER,South,"Cities from 50,000 thru 99,999",All Other Larceny,,,,,Individual,Highway/Road/Alley/Street/Sidewalk,,Clothes/ Furs,1090.0,0.0,N,
